Name,Address
Regiustea,"123 Ô Chợ Dừa, Hà Nội, Vietnam"
Gong Cha Lý Thường Kiệt, "56 Lý Thường Kiệt, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội, Vietnam"
Gong Cha Giảng Võ, "Tòa nhà D2 Giảng Võ, Quận Ba Đình, Hà Nội"
Gong Cha Nguyễn Văn Cừ - Long Biên, "187 Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội"
Gong Cha Times City, "Park 3 – Park Hill, Khu đô thị Times City, P.Mai Động, Q.Hoàng Mai, Hà Nội"
Gong Cha Hàng Cót, "3 Hàng Cót, P.Hàng Mã, Q.Hoàn Kiếm, Hà Nội "
Gong Cha Hoàng Đạo Thúy, "Lô T1.5, Tầng 1 Tòa nhà 34T, khu đô thị mới Trung Hòa, Nhân Chính, đường Hoàng Đạo Thúy, phường Trung Hòa, quận Cầu Giấy, Hà Nội"
Royal Tea Thái Phiên, "19 Thái Phiên, Lê Đại Hành, Hà Nội, Vietnam"
Royal Tea Quang Trung, "16 Quang Trung, Trần Hưng Đạo, Hà Nội, Vietnam"
Royal Tea Ngô Quyền, "18 Ngô Quyền,Hoàn Kiếm, Hà Nội, Vietnam"
Royal   Tea Phạm Ngọc Thạch, "19B10 Phạm Ngọc Thạch, Đống Đa,  Hà Nội"
Royal Tea Phan Đình Phùng, "1 Phan Đình Phùng, Hàng Mã, Hà Nội, Vietnam"
Royal Tea Cơ Sở Trần Phú – Hà Đông, "Toà nhà Hồ Gươm Plaza, 110 Trần Phú, P. Mỗ Lao, Q. Hà Đông"
Royal Tea Ngô Quyền, "8 Ngô Quyền , Hoàn Kiếm , Hà Nội"
Royal Tea Cầu Giấy, "188 Cầu Giấy, Ngọc Khánh, Hà Nội, Vietnam"
Royal Tea Giảng Võ, "165 Giảng Võ, Chợ Dừa, Hà Nội, Vietnam"
Royal Tea Cửa Nam, "2 Cửa Nam, Hoàn Kiếm, Hà Nội"
Royal Tea Trần Đăng Ninh, "64 Trần Đăng Ninh, Hà Nội"
Royal Tea Đào Tấn, "76 Đào Tấn, Cống Vị, Quận Ba Đình, Hà Nội"
Royal Tea Trần Phú, "Tầng 1 TTTM Hồ Gươm Plaza, 110 Trần Phú, Mỗ Lao, Hà Đông, Hà Nội, Quận Hà Đông, Hà Nội"
Royal Tea Hàng Cá, "5 Hàng Cá, Hà Nội"
Royal Tea Ngô Quyền, "18 Ngô Quyền, Tràng Tiền, Quận Hoàn Kiếm, Hà Nội"
Royal Tea Vũ Phạm Hàm, "142 Vũ Phạm Hàm, Yên Hoà, Quận Cầu Giấy, Hà Nội"
Royal Tea Trần Duy Hưng, "105 Trần Duy Hưng, Hà Nội"
Royal Tea Nguyễn Trãi, "515 Nguyễn Trãi, Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội"
Dingtea Cơ sở 1, "23 Lê Đại Hành, Hai Bà Trưng"
Dingtea Cơ sở 2, "163 Giảng Võ, Đống Đa"
Dingtea Cơ sở 3, "47 Hàng Cót, Hoàn Kiếm"
Dingtea Cơ sở 4, "180 Cầu Giấy, Cầu Giấy"
Dingtea Cơ sở 5, "102 Trần Duy Hưng, Cầu Giấy"
Dingtea Cơ sở 6, "1B Nguyễn Hữu Huân, Hoàn Kiếm"
Dingtea Cơ sở 7, "26 Thái Hà, Đống Đa"
Dingtea Cơ sở 8, "15A Đào Tấn, Ba Đình"
Dingtea Cơ sở 9, "306 Nguyễn Trãi, Thanh Xuân"
Dingtea Cơ sở 10, "Số 9 đường Thanh Niên - Tây Hồ"
Dingtea Cơ sở 11, "12 Trần Phú, Hà Đông"
Dingtea Cơ sở 12, "8B4 Kim Liên, Phạm Ngọc Thạch, Đống Đa"
Dingtea Cơ sở 13, "266 Nguyễn Văn Cừ, Long Biên"
Dingtea Cơ sở 14, "114 Hồ Tùng Mậu, Cầu Giấy"
Dingtea Cơ sở 15, "28A Cao Lỗ, Đông Anh"
Dingtea Cơ sở 16, "Tầng 1 - Big C - Trần Duy Hưng"
Dingtea Cơ sở 17, "20 Tân Mai, Hoàng Mai"
Dingtea Cơ sở 18, "28 Trưng Nhị - Hà Đông"
Dingtea Cơ sở 19, "69 Quang Trung, Hà Nội"
Dingtea Cơ sở 20, "109A Thụy Khuê - Tây Hồ"
Dingtea Cơ sở 21, "72 Chùa Láng - Đống Đa"
Dingtea Cơ sở 22, "164C Đội Cấn"
Dingtea Cơ sở 23, "100 Trung Kính"
Dingtea Cơ sở 24, "18 Lê Văn Hiến - Cổ Nhuế"
Dingtea Cơ sở 25, "Tầng 1 - Big C Long Biên"
Dingtea Cơ sở 26, "T103-1 TTTM Aeon Mall, Long Biên"
Dingtea Cơ sở 27, "Tầng 3,TTTM Hồ Gươm Plaza, Hà Đông"
Dingtea Cơ sở 28, "273 Tô Hiệu, Cầu Giấy"
Dingtea Cơ sở 29, "841 Ngô Gia Tự, Long Biên"
Dingtea Cơ sở 30, "Kiot 2 tầng, Chợ Baza, Ninh Hiệp"
Dingtea Cơ sở 31, "1A-M3 TT6 Bắc Linh Đàm, Hà Nội"
Dingtea Cơ sở 32, "82-84 Ô Chợ Dừa, Đống Đa, Hà Nội"
Dingtea Cơ sở 33, "Số 2 Nguyễn Xiển, Hà Nội"
Dingtea Cơ sở 34, "Số 1 Nhà Chung, Hà Nội"
Dingtea Cơ sở 35, "27 Hàng Than, Ha Nội"
Dingtea Cơ sở 36, "Đ1-20 tầng B1T4 TTTM Times City, Hà Nội"
Dingtea Cơ sở 37, "B2-R4-10B TTTM Royal City, Hà Nội"
Dingtea Cơ sở 38, "23E Hai Ba Trưng, Hà Nội"
Dingtea Cơ sở 39, "157 Trần Đại Nghĩa, Hà Nội"
Dingtea Cơ sở 40, "22 Điện Biên Phủ, Hà Nội"
Dingtea Cơ sở 41, "100 Kim Giang, Hà Nội"
Dingtea Cơ sở 42, "103 Cầu Diễn, Hà Nội"
Dingtea Cơ sở 43, "1194 Đường Láng, Hà Nội"
Dingtea Cơ sở 44, "241 Khâm Thiên, Hà Nội"
Dingtea Cơ sở 45, "355 Ngọc Lâm, Hà Nội"
Dingtea Cơ sở 46, "50 Láng Hạ, Hà Nội"
Dingtea Cơ sở 47, "169 Xuân Thủy, Hà Nội"
Dingtea Cơ sở 48, "47 Huỳnh Thúc Kháng, Hà Nội"
Dingtea Cơ sở 49, "HH1A Bán đảo Linh Đàm, Hà Nội"
Dingtea Cơ sở 50, "252 Trần Khát Chân, Hà Nội"
Dingtea Cơ sở 51, "439 Hoàng Quốc Việt, Hà Nội"
Dingtea Cơ sở 52, "156 Lạc Trung, Hà Nội"
Dingtea Cơ sở 53, "46 Kim Mã, Hà Nội"
Dingtea Cơ sở 54, "59 Lạc Long Quân, Hà Nội"
Dingtea Cơ sở 55, "185 Quang Trung, Hà Đông, Hà Nội"
Dingtea Cơ sở 56, "150 Lương Định Của, Hà Nội"
Dingtea Cơ sở 57, "1C Hồ Đắc Di, Hà Nội"
Dingtea Cơ sở 58, "279 Ngô Xuân Quảng, Hà Nội"
Dingtea Cơ sở 59, "Sun Square 21 Lê Đức Thọ, Hà Nội"
Dingtea Cơ sở 60, "TTTM The Garden Mễ Trì, Hà Nội"
Dingtea Cơ sở 61, "81 Nguyễn Trãi, Hà Nội"
Dingtea Cơ sở 62, "18 Phố Trúc, Ecopark"
Dingtea Cơ sở 63, "425 Bạch Mai, Hà Nội"
Dingtea Cơ sở 64, "69 Lô 7, Đền Lừ 2, Hà Nội"
Dingtea Cơ sở 65, "42 Nguyễn Thị Định, Hà Nội"
Dingtea Cơ sở 66, "BigC số 3 Lê Trọng Tấn, Hà Nội"
Dingtea Cơ sở 67, "58 Võ Thị Sáu, Hà Nội"
